ZipCode,Lat,Long
98001,47.310617,-122.263291
98002,47.308286,-122.216812
98003,47.304801,-122.316969
98004,47.618337,-122.205341
98005,47.614533,-122.168798
98006,47.557627,-122.151005
98007,47.613825,-122.144365
98008,47.605797,-122.099118
98010,47.31199,-122.000503
98011,47.753344,-122.201952
98012,47.841376,-122.198939
98014,47.662086,-121.89187
98019,47.734333,-121.855307
98020,47.802344,-122.374193
98021,47.79253,-122.208207
98022,47.216372,-121.912906
98023,47.311491,-122.36281
98024,47.573424,-121.899182
98026,47.840735,-122.33266
98027,47.493732,-121.998724
98028,47.755665,-122.248061
98029,47.557085,-122.007748
98030,47.367214,-122.198051
98031,47.405479,-122.195772
98032,47.391942,-122.257192
98033,47.675982,-122.193578
98034,47.715769,-122.213748
98036,47.809708,-122.280394
98037,47.839223,-122.285464
98038,47.419378,-121.958008
98039,47.631695,-122.240405
98040,47.567779,-122.232795
98042,47.367737,-122.117029
98043,47.791111,-122.30779
98045,47.388327,-121.606221
98047,47.261769,-122.248889
98051,47.34621,-121.881291
98052,47.68099,-122.120531
98053,47.669256,-122.008454
98055,47.446982,-122.201521
98056,47.512527,-122.190248
98057,47.47202,-122.2219
98058,47.442737,-122.123973
98059,47.499429,-122.110157
98065,47.584223,-121.791951
98070,47.407196,-122.473322
98072,47.760785,-122.130531
98074,47.622542,-122.04421
98075,47.586092,-122.037436
98077,47.752379,-122.060283
98087,47.860085,-122.267238
98092,47.287074,-122.113839
98101,47.610902,-122.336422
98102,47.63714,-122.321891
98103,47.678255,-122.338152
98104,47.601884,-122.329459
98105,47.659861,-122.284977
98106,47.544034,-122.349874
98107,47.667527,-122.377551
98108,47.534862,-122.305794
98109,47.631863,-122.344267
98110,47.646967,-122.534561
98112,47.63281,-122.288511
98115,47.685746,-122.281589
98116,47.574245,-122.400222
98117,47.687761,-122.38487
98118,47.540246,-122.268545
98119,47.638679,-122.370946
98121,47.615192,-122.350581
98122,47.611046,-122.293207
98125,47.716513,-122.295829
98126,47.555647,-122.37959
98133,47.740485,-122.342826
98134,47.578096,-122.33786
98136,47.536464,-122.394409
98144,47.585627,-122.29196
98146,47.500058,-122.357848
98148,47.444098,-122.324859
98154,47.606211,-122.333792
98155,47.754413,-122.300477
98158,47.449678,-122.307657
98164,47.605962,-122.332029
98166,47.451576,-122.352986
98168,47.489569,-122.29996
98174,47.604569,-122.335359
98177,47.742239,-122.376608
98178,47.499387,-122.243852
98188,47.446413,-122.272098
98198,47.391319,-122.314971
98199,47.651371,-122.407349
